DateTime;Ozone;Nitrogen Dioxide;PM10;PM2.5
2017-10-01 01:00:00;19;24;9;6
2017-10-01 02:00:00;20;24;6;5
2017-10-01 03:00:00;20;17;6;3
2017-10-01 04:00:00;18;19;9;5
2017-10-01 05:00:00;23;13;7;4
2017-10-01 06:00:00;24;14;6;2
2017-10-01 07:00:00;17;25;9;4
2017-10-01 08:00:00;19;38;10;3
2017-10-01 09:00:00;35;28;12;3
2017-10-01 10:00:00;40;23;14;6
2017-10-01 11:00:00;37;19;13;5
2017-10-01 12:00:00;37;15;11;5
2017-10-01 13:00:00;34;17;6;4
2017-10-01 14:00:00;37;15;11;2
2017-10-01 15:00:00;37;11;10;2
2017-10-01 16:00:00;45;9;8;1
2017-10-01 17:00:00;43;9;9;2
2017-10-01 18:00:00;44;8;5;3
2017-10-01 19:00:00;40;13;3;5
2017-10-01 20:00:00;53;10;3;4
2017-10-01 21:00:00;63;6;8;1
2017-10-01 22:00:00;73;5;4;2
2017-10-01 23:00:00;76;4;5;-1
2017-10-02 00:00:00;71;3;7;5
2017-10-02 01:00:00;69;2;7;4
2017-10-02 02:00:00;67;4;8;4
2017-10-02 03:00:00;65;3;7;2
2017-10-02 04:00:00;65;2;4;1
2017-10-02 05:00:00;58;7;1;3
2017-10-02 06:00:00;40;21;3;0
2017-10-02 07:00:00;30;33;3;2
2017-10-02 08:00:00;48;24;5;2
2017-10-02 09:00:00;61;14;6;3
2017-10-02 10:00:00;63;11;4;5
2017-10-02 11:00:00;71;7;7;3
2017-10-02 12:00:00;73;7;6;5
2017-10-02 13:00:00;77;8;5;2
2017-10-02 14:00:00;70;12;7;2
2017-10-02 15:00:00;66;11;7;5
2017-10-02 16:00:00;61;14;6;0
2017-10-02 17:00:00;62;14;9;5
2017-10-02 18:00:00;61;17;7;1
2017-10-02 19:00:00;66;14;9;3
2017-10-02 20:00:00;66;14;7;3
2017-10-02 21:00:00;66;10;5;2
2017-10-02 22:00:00;63;11;5;5
2017-10-02 23:00:00;62;9;8;2
2017-10-03 00:00:00;63;6;7;3
2017-10-03 01:00:00;68;2;6;3
2017-10-03 02:00:00;67;4;8;4
2017-10-03 03:00:00;70;2;7;4
2017-10-03 04:00:00;66;6;10;2
2017-10-03 05:00:00;54;18;7;2
2017-10-03 06:00:00;53;20;5;3
2017-10-03 07:00:00;58;17;8;2
2017-10-03 08:00:00;60;15;8;2
2017-10-03 09:00:00;65;9;2;1
2017-10-03 10:00:00;66;9;7;8
2017-10-03 11:00:00;66;8;6;0
2017-10-03 12:00:00;70;7;9;3
2017-10-03 13:00:00;67;9;9;1
2017-10-03 14:00:00;61;10;9;1
2017-10-03 15:00:00;61;10;7;2
2017-10-03 16:00:00;57;15;8;2
2017-10-03 17:00:00;57;18;10;6
2017-10-03 18:00:00;42;29;6;1
2017-10-03 19:00:00;43;28;8;3
2017-10-03 20:00:00;51;21;7;-1
2017-10-03 21:00:00;50;18;5;5
2017-10-03 22:00:00;45;23;7;0
2017-10-03 23:00:00;59;9;5;4
2017-10-04 00:00:00;44;19;6;1
2017-10-04 01:00:00;65;3;6;1
2017-10-04 02:00:00;61;3;4;1
2017-10-04 03:00:00;62;4;5;2
2017-10-04 04:00:00;65;4;5;0
2017-10-04 05:00:00;58;14;7;1
2017-10-04 06:00:00;44;27;11;4
2017-10-04 07:00:00;37;32;13;6
2017-10-04 08:00:00;39;27;14;6
2017-10-04 09:00:00;40;24;14;7
2017-10-04 10:00:00;50;14;17;2
2017-10-04 11:00:00;57;9;14;7
2017-10-04 12:00:00;58;8;16;8
2017-10-04 13:00:00;57;11;12;1
2017-10-04 14:00:00;57;11;10;6
2017-10-04 15:00:00;58;9;11;5
2017-10-04 16:00:00;54;13;5;4
2017-10-04 17:00:00;50;16;9;0
2017-10-04 18:00:00;37;27;7;5
2017-10-04 19:00:00;30;32;7;4
2017-10-04 20:00:00;26;34;7;2
2017-10-04 21:00:00;24;35;11;6
2017-10-04 22:00:00;7;49;13;6
2017-10-04 23:00:00;14;38;9;2
2017-10-05 00:00:00;22;28;7;2
2017-10-05 01:00:00;42;10;7;4
2017-10-05 02:00:00;36;11;8;4
2017-10-05 03:00:00;55;4;7;3
2017-10-05 04:00:00;55;6;6;2
2017-10-05 05:00:00;57;6;5;1
2017-10-05 06:00:00;53;12;8;3
2017-10-05 07:00:00;54;14;6;3
2017-10-05 08:00:00;56;15;6;1
2017-10-05 09:00:00;60;11;8;1
2017-10-05 10:00:00;67;9;8;6
2017-10-05 11:00:00;64;10;8;3
2017-10-05 12:00:00;61;10;8;4
2017-10-05 13:00:00;59;10;5;-3
2017-10-05 14:00:00;59;10;2;4
2017-10-05 15:00:00;64;10;4;3
2017-10-05 16:00:00;67;9;7;-1
2017-10-05 17:00:00;65;12;7;1
2017-10-05 18:00:00;60;15;10;3
2017-10-05 19:00:00;63;13;8;2
2017-10-05 20:00:00;67;12;11;5
2017-10-05 21:00:00;70;10;13;8
2017-10-05 22:00:00;67;11;14;5
2017-10-05 23:00:00;68;10;16;5
2017-10-06 00:00:00;71;7;16;8
2017-10-06 01:00:00;72;6;15;4
2017-10-06 02:00:00;75;8;16;6
2017-10-06 03:00:00;76;6;15;5
2017-10-06 04:00:00;71;8;15;3
2017-10-06 05:00:00;65;14;15;5
2017-10-06 06:00:00;59;19;14;5
2017-10-06 07:00:00;52;25;15;5
2017-10-06 08:00:00;52;24;18;6
2017-10-06 09:00:00;56;20;15;7
2017-10-06 10:00:00;67;11;9;6
2017-10-06 11:00:00;70;9;14;-2
2017-10-06 12:00:00;68;10;15;3
2017-10-06 13:00:00;67;12;10;8
2017-10-06 14:00:00;62;16;12;5
2017-10-06 15:00:00;51;26;16;5
2017-10-06 16:00:00;45;28;15;10
2017-10-06 17:00:00;37;32;16;7
2017-10-06 18:00:00;36;28;9;4
2017-10-06 19:00:00;31;27;11;9
2017-10-06 20:00:00;34;21;9;7
2017-10-06 21:00:00;46;13;11;2
2017-10-06 22:00:00;46;12;12;4
2017-10-06 23:00:00;48;10;10;3
2017-10-07 00:00:00;46;11;16;4
2017-10-07 01:00:00;43;10;10;7
2017-10-07 02:00:00;38;9;5;4
2017-10-07 03:00:00;30;10;6;0
2017-10-07 04:00:00;22;16;3;3
2017-10-07 05:00:00;16;22;4;2
2017-10-07 06:00:00;7;30;3;2
2017-10-07 07:00:00;25;33;5;4
2017-10-07 08:00:00;40;19;3;2
2017-10-07 09:00:00;34;25;5;3
2017-10-07 10:00:00;51;10;3;2
2017-10-07 11:00:00;55;7;3;0
2017-10-07 12:00:00;58;6;4;1
2017-10-07 13:00:00;58;7;3;0
2017-10-07 14:00:00;56;8;;1
2017-10-07 15:00:00;58;6;3;1
2017-10-07 16:00:00;57;8;2;2
2017-10-07 17:00:00;51;13;3;3
2017-10-07 18:00:00;42;20;3;3
2017-10-07 19:00:00;48;16;3;3
2017-10-07 20:00:00;46;11;5;3
2017-10-07 21:00:00;45;12;4;-1
2017-10-07 22:00:00;46;10;4;3
2017-10-07 23:00:00;24;28;5;1
2017-10-08 00:00:00;25;23;6;3
2017-10-08 01:00:00;43;7;4;4
2017-10-08 02:00:00;41;10;3;0
2017-10-08 03:00:00;44;7;4;2
2017-10-08 04:00:00;40;11;4;-1
2017-10-08 05:00:00;50;3;3;2
2017-10-08 06:00:00;43;6;4;1
2017-10-08 07:00:00;20;30;3;1
2017-10-08 08:00:00;24;24;6;1
2017-10-08 09:00:00;35;18;4;0
2017-10-08 10:00:00;36;21;3;2
2017-10-08 11:00:00;51;9;5;0
2017-10-08 12:00:00;55;7;3;3
2017-10-08 13:00:00;57;8;2;1
2017-10-08 14:00:00;57;9;2;1
2017-10-08 15:00:00;36;18;5;2
2017-10-08 16:00:00;30;20;7;3
2017-10-08 17:00:00;39;17;5;3
