DateTime;Nitrogen Dioxide;PM10;PM2.5
2017-10-01 01:00:00;9;7;5
2017-10-01 02:00:00;8;6;4
2017-10-01 03:00:00;8;10;4
2017-10-01 04:00:00;7;6;3
2017-10-01 05:00:00;7;5;3
2017-10-01 06:00:00;10;5;3
2017-10-01 07:00:00;14;5;3
2017-10-01 08:00:00;17;8;4
2017-10-01 09:00:00;11;9;5
2017-10-01 10:00:00;12;13;6
2017-10-01 11:00:00;9;10;5
2017-10-01 12:00:00;11;11;6
2017-10-01 13:00:00;11;9;5
2017-10-01 14:00:00;9;10;6
2017-10-01 15:00:00;10;8;5
2017-10-01 16:00:00;8;9;5
2017-10-01 17:00:00;8;5;3
2017-10-01 18:00:00;5;3;1
2017-10-01 19:00:00;13;3;1
2017-10-01 20:00:00;5;3;2
2017-10-01 21:00:00;3;3;2
2017-10-01 22:00:00;8;3;1
2017-10-01 23:00:00;7;4;2
2017-10-02 00:00:00;2;5;3
2017-10-02 01:00:00;;8;5
2017-10-02 02:00:00;;7;4
2017-10-02 03:00:00;;4;3
2017-10-02 04:00:00;;2;2
2017-10-02 05:00:00;2;2;1
2017-10-02 06:00:00;12;2;1
2017-10-02 07:00:00;28;2;1
2017-10-02 08:00:00;25;3;1
2017-10-02 09:00:00;16;3;1
2017-10-02 10:00:00;10;3;1
2017-10-02 11:00:00;8;4;1
2017-10-02 12:00:00;10;5;2
2017-10-02 13:00:00;9;5;2
2017-10-02 14:00:00;11;5;2
2017-10-02 15:00:00;10;5;3
2017-10-02 16:00:00;21;7;3
2017-10-02 17:00:00;18;7;3
2017-10-02 18:00:00;16;6;3
2017-10-02 19:00:00;10;7;4
2017-10-02 20:00:00;10;7;4
2017-10-02 21:00:00;6;6;3
2017-10-02 22:00:00;8;5;3
2017-10-02 23:00:00;3;4;2
2017-10-03 00:00:00;5;4;3
2017-10-03 01:00:00;10;6;3
2017-10-03 02:00:00;9;5;3
2017-10-03 03:00:00;10;6;3
2017-10-03 04:00:00;7;7;3
2017-10-03 05:00:00;10;4;2
2017-10-03 06:00:00;19;5;2
2017-10-03 07:00:00;20;6;3
2017-10-03 08:00:00;21;6;3
2017-10-03 09:00:00;14;6;2
2017-10-03 10:00:00;10;5;2
2017-10-03 11:00:00;14;6;3
2017-10-03 12:00:00;16;9;4
2017-10-03 13:00:00;12;7;3
2017-10-03 14:00:00;26;8;3
2017-10-03 15:00:00;13;4;2
2017-10-03 16:00:00;15;5;2
2017-10-03 17:00:00;20;5;2
2017-10-03 18:00:00;30;6;2
2017-10-03 19:00:00;14;5;2
2017-10-03 20:00:00;16;5;3
2017-10-03 21:00:00;16;5;2
2017-10-03 22:00:00;16;5;2
2017-10-03 23:00:00;4;5;2
2017-10-04 00:00:00;5;4;2
2017-10-04 01:00:00;4;2;1
2017-10-04 02:00:00;4;3;1
2017-10-04 03:00:00;7;3;2
2017-10-04 04:00:00;7;2;1
2017-10-04 05:00:00;8;4;2
2017-10-04 06:00:00;24;11;6
2017-10-04 07:00:00;21;11;6
2017-10-04 08:00:00;24;14;6
2017-10-04 09:00:00;18;15;7
2017-10-04 10:00:00;13;15;7
2017-10-04 11:00:00;9;15;6
2017-10-04 12:00:00;6;12;5
2017-10-04 13:00:00;10;11;4
2017-10-04 14:00:00;16;11;4
2017-10-04 15:00:00;14;9;3
2017-10-04 16:00:00;13;7;3
2017-10-04 17:00:00;22;7;3
2017-10-04 18:00:00;38;9;4
2017-10-04 19:00:00;55;14;5
2017-10-04 20:00:00;34;8;4
2017-10-04 21:00:00;51;11;6
2017-10-04 22:00:00;46;10;5
2017-10-04 23:00:00;41;8;5
2017-10-05 00:00:00;28;7;5
2017-10-05 01:00:00;16;7;4
2017-10-05 02:00:00;11;7;4
2017-10-05 03:00:00;6;5;3
2017-10-05 04:00:00;22;4;2
2017-10-05 05:00:00;19;4;2
2017-10-05 06:00:00;23;6;3
2017-10-05 07:00:00;30;8;3
2017-10-05 08:00:00;30;7;3
2017-10-05 09:00:00;23;7;3
2017-10-05 10:00:00;21;11;4
2017-10-05 11:00:00;24;10;3
2017-10-05 12:00:00;23;9;3
2017-10-05 13:00:00;33;8;3
2017-10-05 14:00:00;28;4;2
2017-10-05 15:00:00;34;7;3
2017-10-05 16:00:00;43;11;4
2017-10-05 17:00:00;38;12;5
2017-10-05 18:00:00;31;8;4
2017-10-05 19:00:00;19;9;5
2017-10-05 20:00:00;14;14;6
2017-10-05 21:00:00;13;14;7
2017-10-05 22:00:00;11;16;7
2017-10-05 23:00:00;7;15;7
2017-10-06 00:00:00;5;17;7
2017-10-06 01:00:00;5;17;7
2017-10-06 02:00:00;5;15;7
2017-10-06 03:00:00;7;14;6
2017-10-06 04:00:00;16;13;6
2017-10-06 05:00:00;21;16;7
2017-10-06 06:00:00;34;16;7
2017-10-06 07:00:00;39;18;7
2017-10-06 08:00:00;54;20;7
2017-10-06 09:00:00;48;20;7
2017-10-06 10:00:00;33;21;7
2017-10-06 11:00:00;44;19;6
2017-10-06 12:00:00;36;14;6
2017-10-06 13:00:00;30;13;5
2017-10-06 14:00:00;32;14;6
2017-10-06 15:00:00;40;19;7
2017-10-06 16:00:00;50;16;7
2017-10-06 17:00:00;34;14;5
2017-10-06 18:00:00;23;10;4
2017-10-06 19:00:00;22;8;4
2017-10-06 20:00:00;18;6;4
2017-10-06 21:00:00;13;7;4
2017-10-06 22:00:00;10;6;4
2017-10-06 23:00:00;5;7;4
2017-10-07 00:00:00;7;12;8
2017-10-07 01:00:00;13;8;5
2017-10-07 02:00:00;9;3;2
2017-10-07 03:00:00;12;2;2
2017-10-07 04:00:00;13;3;1
2017-10-07 05:00:00;27;2;1
2017-10-07 06:00:00;26;2;1
2017-10-07 07:00:00;37;2;1
2017-10-07 08:00:00;30;1;1
2017-10-07 09:00:00;29;2;1
2017-10-07 10:00:00;14;2;1
2017-10-07 11:00:00;14;3;1
2017-10-07 12:00:00;22;5;2
2017-10-07 13:00:00;24;5;2
2017-10-07 14:00:00;22;5;2
2017-10-07 15:00:00;28;4;2
2017-10-07 16:00:00;25;5;2
2017-10-07 17:00:00;28;5;3
2017-10-07 18:00:00;25;6;4
2017-10-07 19:00:00;31;4;3
2017-10-07 20:00:00;44;4;2
2017-10-07 21:00:00;30;4;3
2017-10-07 22:00:00;31;3;2
2017-10-07 23:00:00;25;3;2
2017-10-08 00:00:00;24;3;2
2017-10-08 01:00:00;14;2;1
2017-10-08 02:00:00;10;2;1
2017-10-08 03:00:00;16;3;1
2017-10-08 04:00:00;25;3;1
2017-10-08 05:00:00;7;1;0
2017-10-08 06:00:00;17;2;1
2017-10-08 07:00:00;27;10;2
2017-10-08 08:00:00;23;2;1
2017-10-08 09:00:00;33;6;3
2017-10-08 10:00:00;24;2;1
2017-10-08 11:00:00;21;3;1
2017-10-08 12:00:00;14;2;1
2017-10-08 13:00:00;10;1;0
2017-10-08 14:00:00;11;3;1
2017-10-08 15:00:00;16;7;4
2017-10-08 16:00:00;32;8;3
2017-10-08 17:00:00;26;5;2
2017-10-08 18:00:00;50;8;5
2017-10-08 19:00:00;52;13;9
2017-10-08 20:00:00;45;13;9
2017-10-08 21:00:00;37;11;8
2017-10-08 22:00:00;31;8;6
2017-10-08 23:00:00;25;7;5
2017-10-09 00:00:00;22;6;4
2017-10-09 01:00:00;12;5;3
2017-10-09 02:00:00;8;4;2
2017-10-09 03:00:00;6;3;2
2017-10-09 04:00:00;8;3;1
2017-10-09 05:00:00;24;3;2
2017-10-09 06:00:00;42;5;2
2017-10-09 07:00:00;41;5;2
2017-10-09 08:00:00;44;5;2
2017-10-09 09:00:00;37;5;3
2017-10-09 10:00:00;;6;2
2017-10-09 11:00:00;;4;3
2017-10-09 12:00:00;;4;1
2017-10-09 13:00:00;;7;2
2017-10-09 14:00:00;;5;2
2017-10-09 15:00:00;;5;2
2017-10-09 16:00:00;;9;3
2017-10-09 17:00:00;;9;4
2017-10-09 18:00:00;;7;3
2017-10-09 19:00:00;;7;3
2017-10-09 20:00:00;;6;3
2017-10-09 21:00:00;;5;2
2017-10-09 22:00:00;;6;3
2017-10-09 23:00:00;;5;4
2017-10-10 00:00:00;;8;6
2017-10-10 01:00:00;;6;3
2017-10-10 02:00:00;;6;3
2017-10-10 03:00:00;;4;2
2017-10-10 04:00:00;;3;2
2017-10-10 05:00:00;;5;3
2017-10-10 06:00:00;;7;4
2017-10-10 07:00:00;;7;3
2017-10-10 08:00:00;;13;4
2017-10-10 09:00:00;;8;3
2017-10-10 10:00:00;;7;3
2017-10-10 11:00:00;;6;3
2017-10-10 12:00:00;;;
2017-10-10 13:00:00;;;
2017-10-10 14:00:00;;;
2017-10-10 15:00:00;;;
2017-10-10 16:00:00;;;
2017-10-10 17:00:00;;;
2017-10-10 18:00:00;;;
2017-10-10 19:00:00;;;
2017-10-10 20:00:00;;;
2017-10-10 21:00:00;;;
2017-10-10 22:00:00;;;
2017-10-10 23:00:00;;;
2017-10-11 00:00:00;;;
2017-10-11 01:00:00;;;
2017-10-11 02:00:00;;;
2017-10-11 03:00:00;;;
2017-10-11 04:00:00;;;
2017-10-11 05:00:00;;;
2017-10-11 06:00:00;;;
2017-10-11 07:00:00;;;
2017-10-11 08:00:00;;;
2017-10-11 09:00:00;;;
2017-10-11 10:00:00;;;
2017-10-11 11:00:00;;;
2017-10-11 12:00:00;;;
2017-10-11 13:00:00;;;
2017-10-11 14:00:00;;;
2017-10-11 15:00:00;;;
2017-10-11 16:00:00;;;
2017-10-11 17:00:00;;;
2017-10-11 18:00:00;;;
2017-10-11 19:00:00;;;
2017-10-11 20:00:00;;;
2017-10-11 21:00:00;;;
2017-10-11 22:00:00;;;
2017-10-11 23:00:00;;;
2017-10-12 00:00:00;;;
2017-10-12 01:00:00;;;
2017-10-12 02:00:00;;;
2017-10-12 03:00:00;;;
2017-10-12 04:00:00;;;
2017-10-12 05:00:00;;;
2017-10-12 06:00:00;;;
2017-10-12 07:00:00;;;
2017-10-12 08:00:00;;;
2017-10-12 09:00:00;;;
2017-10-12 10:00:00;;13;4
2017-10-12 11:00:00;;8;3
2017-10-12 12:00:00;;7;3
2017-10-12 13:00:00;;9;4
2017-10-12 14:00:00;;10;4
2017-10-12 15:00:00;;14;5
2017-10-12 16:00:00;;8;4
2017-10-12 17:00:00;;8;4
2017-10-12 18:00:00;;10;4
2017-10-12 19:00:00;;10;4
2017-10-12 20:00:00;;6;3
2017-10-12 21:00:00;;6;3
2017-10-12 22:00:00;;6;3
2017-10-12 23:00:00;;6;3
2017-10-13 00:00:00;;6;3
2017-10-13 01:00:00;;5;3
2017-10-13 02:00:00;;6;3
2017-10-13 03:00:00;;5;2
2017-10-13 04:00:00;;4;2
2017-10-13 05:00:00;;5;3
2017-10-13 06:00:00;;3;2
2017-10-13 07:00:00;;3;1
2017-10-13 08:00:00;;2;1
2017-10-13 09:00:00;;3;2
2017-10-13 10:00:00;;3;2
2017-10-13 11:00:00;;6;3
2017-10-13 12:00:00;;6;2
2017-10-13 13:00:00;;5;2
2017-10-13 14:00:00;;3;1
2017-10-13 15:00:00;;6;2
2017-10-13 16:00:00;;9;4
2017-10-13 17:00:00;;9;4
2017-10-13 18:00:00;;10;6
2017-10-13 19:00:00;;11;6
2017-10-13 20:00:00;;11;6
2017-10-13 21:00:00;;13;7
2017-10-13 22:00:00;;16;8
2017-10-13 23:00:00;;12;6
2017-10-14 00:00:00;;10;6
2017-10-14 01:00:00;;8;5
2017-10-14 02:00:00;;9;5
2017-10-14 03:00:00;;11;6
2017-10-14 04:00:00;;12;6
2017-10-14 05:00:00;;11;6
2017-10-14 06:00:00;;12;6
2017-10-14 07:00:00;;14;7
2017-10-14 08:00:00;;14;7
2017-10-14 09:00:00;;16;8
2017-10-14 10:00:00;;16;8
2017-10-14 11:00:00;;17;8
2017-10-14 12:00:00;;17;9
2017-10-14 13:00:00;;16;8
2017-10-14 14:00:00;;16;8
2017-10-14 15:00:00;;14;7
2017-10-14 16:00:00;;14;8
2017-10-14 17:00:00;;17;8
2017-10-14 18:00:00;;13;7
2017-10-14 19:00:00;;9;5
2017-10-14 20:00:00;;9;5
2017-10-14 21:00:00;;8;4
2017-10-14 22:00:00;;11;6
2017-10-14 23:00:00;;11;6
2017-10-15 00:00:00;;12;7
2017-10-15 01:00:00;;13;7
2017-10-15 02:00:00;;17;9
2017-10-15 03:00:00;;17;9
2017-10-15 04:00:00;;17;9
2017-10-15 05:00:00;;16;8
2017-10-15 06:00:00;;18;10
2017-10-15 07:00:00;;18;10
2017-10-15 08:00:00;;16;9
2017-10-15 09:00:00;;18;10
2017-10-15 10:00:00;;18;10
2017-10-15 11:00:00;;16;9
2017-10-15 12:00:00;;15;9
2017-10-15 13:00:00;;14;9
2017-10-15 14:00:00;;10;6
2017-10-15 15:00:00;;12;6
2017-10-15 16:00:00;;11;6
2017-10-15 17:00:00;;9;6
2017-10-15 18:00:00;;4;2
2017-10-15 19:00:00;;4;2
2017-10-15 20:00:00;;3;2
2017-10-15 21:00:00;;3;2
2017-10-15 22:00:00;;3;1
2017-10-15 23:00:00;;4;1
2017-10-16 00:00:00;;9;3
2017-10-16 01:00:00;;12;3
2017-10-16 02:00:00;;20;5
2017-10-16 03:00:00;;17;5
2017-10-16 04:00:00;;8;3
2017-10-16 05:00:00;;13;4
2017-10-16 06:00:00;;11;5
2017-10-16 07:00:00;;9;4
2017-10-16 08:00:00;;10;4
2017-10-16 09:00:00;;8;4
2017-10-16 10:00:00;;8;4
2017-10-16 11:00:00;;8;4
2017-10-16 12:00:00;;9;5
2017-10-16 13:00:00;;9;5
2017-10-16 14:00:00;;14;8
2017-10-16 15:00:00;;26;16
2017-10-16 16:00:00;;30;19
2017-10-16 17:00:00;;35;22
2017-10-16 18:00:00;;54;33
2017-10-16 19:00:00;;54;35
2017-10-16 20:00:00;;43;26
2017-10-16 21:00:00;;31;16
2017-10-16 22:00:00;;26;11
2017-10-16 23:00:00;;18;8
2017-10-17 00:00:00;;15;7
2017-10-17 01:00:00;;14;7
2017-10-17 02:00:00;;15;7
2017-10-17 03:00:00;;10;5
2017-10-17 04:00:00;;9;4
2017-10-17 05:00:00;;4;2
2017-10-17 06:00:00;;2;1
2017-10-17 07:00:00;;1;1
2017-10-17 08:00:00;;1;1
2017-10-17 09:00:00;;2;1
2017-10-17 10:00:00;;2;1
2017-10-17 11:00:00;;3;1
2017-10-17 12:00:00;;3;1
2017-10-17 13:00:00;;4;2
2017-10-17 14:00:00;;5;2
2017-10-17 15:00:00;;7;3
2017-10-17 16:00:00;;7;3
2017-10-17 17:00:00;;10;5
2017-10-17 18:00:00;;10;6
2017-10-17 19:00:00;;9;4
2017-10-17 20:00:00;;9;4
2017-10-17 21:00:00;;17;7
2017-10-17 22:00:00;;16;7
2017-10-17 23:00:00;;16;6
2017-10-18 00:00:00;;14;6
2017-10-18 01:00:00;;18;6
2017-10-18 02:00:00;;18;6
2017-10-18 03:00:00;;16;6
2017-10-18 04:00:00;;17;6
2017-10-18 05:00:00;;18;6
2017-10-18 06:00:00;;23;6
2017-10-18 07:00:00;;19;6
2017-10-18 08:00:00;;15;6
2017-10-18 09:00:00;;19;8
2017-10-18 10:00:00;;26;8
