DateTime;Nitrogen Dioxide;PM10;PM2.5
2017-10-01 01:00:00;40;14;11
2017-10-01 02:00:00;31;13;10
2017-10-01 03:00:00;37;9;6
2017-10-01 04:00:00;26;11;7
2017-10-01 05:00:00;21;5;5
2017-10-01 06:00:00;18;3;2
2017-10-01 07:00:00;32;3;1
2017-10-01 08:00:00;20;7;2
2017-10-01 09:00:00;10;7;-1
2017-10-01 10:00:00;13;8;2
2017-10-01 11:00:00;9;7;1
2017-10-01 12:00:00;11;6;-1
2017-10-01 13:00:00;11;10;3
2017-10-01 14:00:00;9;11;7
2017-10-01 15:00:00;9;7;5
2017-10-01 16:00:00;10;5;1
2017-10-01 17:00:00;16;6;1
2017-10-01 18:00:00;29;3;2
2017-10-01 19:00:00;24;7;5
2017-10-01 20:00:00;20;7;4
2017-10-01 21:00:00;21;4;2
2017-10-01 22:00:00;22;2;0
2017-10-01 23:00:00;18;1;0
2017-10-02 00:00:00;7;2;-1
2017-10-02 01:00:00;8;6;3
2017-10-02 02:00:00;3;10;6
2017-10-02 03:00:00;2;6;4
2017-10-02 04:00:00;4;2;0
2017-10-02 05:00:00;13;1;-1
2017-10-02 06:00:00;43;3;2
2017-10-02 07:00:00;61;8;5
2017-10-02 08:00:00;73;12;7
2017-10-02 09:00:00;61;13;7
2017-10-02 10:00:00;60;6;3
2017-10-02 11:00:00;54;6;3
2017-10-02 12:00:00;63;10;6
2017-10-02 13:00:00;61;9;4
2017-10-02 14:00:00;65;11;6
2017-10-02 15:00:00;75;10;5
2017-10-02 16:00:00;63;15;9
2017-10-02 17:00:00;57;12;7
2017-10-02 18:00:00;67;11;5
2017-10-02 19:00:00;49;11;5
2017-10-02 20:00:00;49;10;4
2017-10-02 21:00:00;31;13;8
2017-10-02 22:00:00;42;10;6
2017-10-02 23:00:00;31;7;4
2017-10-03 00:00:00;17;5;3
2017-10-03 01:00:00;12;6;4
2017-10-03 02:00:00;11;7;5
2017-10-03 03:00:00;7;6;2
2017-10-03 04:00:00;9;5;1
2017-10-03 05:00:00;28;5;0
2017-10-03 06:00:00;51;6;1
2017-10-03 07:00:00;49;6;2
2017-10-03 08:00:00;59;11;5
2017-10-03 09:00:00;59;6;1
2017-10-03 10:00:00;60;7;2
2017-10-03 11:00:00;52;8;2
2017-10-03 12:00:00;61;12;5
2017-10-03 13:00:00;60;12;5
2017-10-03 14:00:00;53;10;4
2017-10-03 15:00:00;63;6;0
2017-10-03 16:00:00;72;10;5
2017-10-03 17:00:00;79;9;4
2017-10-03 18:00:00;64;9;4
2017-10-03 19:00:00;61;12;7
2017-10-03 20:00:00;48;10;6
2017-10-03 21:00:00;31;11;8
2017-10-03 22:00:00;31;6;3
2017-10-03 23:00:00;21;1;-2
2017-10-04 00:00:00;13;3;1
2017-10-04 01:00:00;7;1;0
2017-10-04 02:00:00;4;2;0
2017-10-04 03:00:00;9;3;1
2017-10-04 04:00:00;10;-1;-3
2017-10-04 05:00:00;45;0;-1
2017-10-04 06:00:00;47;11;5
2017-10-04 07:00:00;58;17;8
2017-10-04 08:00:00;67;16;6
2017-10-04 09:00:00;89;17;6
2017-10-04 10:00:00;55;17;6
2017-10-04 11:00:00;49;20;8
2017-10-04 12:00:00;60;18;6
