DateTime;Nitrogen Dioxide;PM10;PM2.5
2017-10-01 01:00:00;12;7;4
2017-10-01 02:00:00;11;7;3
2017-10-01 03:00:00;10;6;3
2017-10-01 04:00:00;12;5;3
2017-10-01 05:00:00;8;5;3
2017-10-01 06:00:00;12;6;3
2017-10-01 07:00:00;22;6;3
2017-10-01 08:00:00;26;10;4
2017-10-01 09:00:00;23;8;5
2017-10-01 10:00:00;22;13;7
2017-10-01 11:00:00;14;8;5
2017-10-01 12:00:00;16;9;6
2017-10-01 13:00:00;17;9;5
2017-10-01 14:00:00;13;9;5
2017-10-01 15:00:00;11;7;5
2017-10-01 16:00:00;10;9;5
2017-10-01 17:00:00;13;6;3
2017-10-01 18:00:00;19;3;1
2017-10-01 19:00:00;12;3;1
2017-10-01 20:00:00;5;3;1
2017-10-01 21:00:00;7;3;2
2017-10-01 22:00:00;6;4;1
2017-10-01 23:00:00;7;6;2
2017-10-02 00:00:00;6;6;4
2017-10-02 01:00:00;1;9;6
2017-10-02 02:00:00;3;7;5
2017-10-02 03:00:00;3;5;3
2017-10-02 04:00:00;3;3;2
2017-10-02 05:00:00;13;2;1
2017-10-02 06:00:00;29;3;1
2017-10-02 07:00:00;71;6;2
2017-10-02 08:00:00;69;9;2
2017-10-02 09:00:00;48;9;2
2017-10-02 10:00:00;40;9;2
2017-10-02 11:00:00;34;11;2
2017-10-02 12:00:00;33;10;2
2017-10-02 13:00:00;42;14;3
2017-10-02 14:00:00;49;13;3
2017-10-02 15:00:00;41;15;4
2017-10-02 16:00:00;91;8;4
2017-10-02 17:00:00;41;10;4
2017-10-02 18:00:00;27;11;4
2017-10-02 19:00:00;14;10;4
2017-10-02 20:00:00;14;8;4
2017-10-02 21:00:00;12;7;3
2017-10-02 22:00:00;9;6;3
2017-10-02 23:00:00;7;5;2
2017-10-03 00:00:00;4;6;3
2017-10-03 01:00:00;3;6;3
2017-10-03 02:00:00;4;6;3
2017-10-03 03:00:00;6;8;3
2017-10-03 04:00:00;13;8;4
2017-10-03 05:00:00;25;6;3
2017-10-03 06:00:00;38;8;2
2017-10-03 07:00:00;39;11;3
2017-10-03 08:00:00;40;14;4
2017-10-03 09:00:00;41;11;3
2017-10-03 10:00:00;38;12;3
2017-10-03 11:00:00;38;12;3
2017-10-03 12:00:00;32;22;5
2017-10-03 13:00:00;34;20;4
2017-10-03 14:00:00;58;17;4
2017-10-03 15:00:00;50;23;4
2017-10-03 16:00:00;67;14;3
2017-10-03 17:00:00;77;18;4
2017-10-03 18:00:00;60;24;5
2017-10-03 19:00:00;33;17;3
2017-10-03 20:00:00;36;13;3
2017-10-03 21:00:00;20;11;3
2017-10-03 22:00:00;19;6;2
2017-10-03 23:00:00;7;6;2
2017-10-04 00:00:00;7;5;2
2017-10-04 01:00:00;3;3;1
2017-10-04 02:00:00;6;3;1
2017-10-04 03:00:00;7;5;2
2017-10-04 04:00:00;10;6;2
2017-10-04 05:00:00;20;7;2
2017-10-04 06:00:00;38;18;7
2017-10-04 07:00:00;47;20;7
2017-10-04 08:00:00;65;20;7
2017-10-04 09:00:00;40;22;8
2017-10-04 10:00:00;62;22;8
2017-10-04 11:00:00;32;20;7
2017-10-04 12:00:00;31;20;6
2017-10-04 13:00:00;33;18;5
2017-10-04 14:00:00;44;15;5
2017-10-04 15:00:00;46;17;5
2017-10-04 16:00:00;33;12;3
2017-10-04 17:00:00;54;12;4
2017-10-04 18:00:00;65;18;5
2017-10-04 19:00:00;61;17;6
2017-10-04 20:00:00;59;14;6
2017-10-04 21:00:00;63;20;7
2017-10-04 22:00:00;65;14;6
2017-10-04 23:00:00;47;12;5
2017-10-05 00:00:00;26;8;5
2017-10-05 01:00:00;12;7;4
2017-10-05 02:00:00;11;7;3
2017-10-05 03:00:00;8;5;3
2017-10-05 04:00:00;10;5;2
2017-10-05 05:00:00;20;6;2
2017-10-05 06:00:00;34;7;3
2017-10-05 07:00:00;39;8;3
2017-10-05 08:00:00;61;11;3
2017-10-05 09:00:00;47;9;3
2017-10-05 10:00:00;39;9;3
2017-10-05 11:00:00;30;10;3
2017-10-05 12:00:00;30;9;3
2017-10-05 13:00:00;39;7;2
2017-10-05 14:00:00;32;4;1
2017-10-05 15:00:00;43;7;2
2017-10-05 16:00:00;45;9;4
2017-10-05 17:00:00;32;9;4
2017-10-05 18:00:00;38;7;4
2017-10-05 19:00:00;20;7;4
2017-10-05 20:00:00;13;12;6
2017-10-05 21:00:00;15;14;7
2017-10-05 22:00:00;8;14;7
2017-10-05 23:00:00;6;15;7
2017-10-06 00:00:00;10;16;7
2017-10-06 01:00:00;6;16;7
2017-10-06 02:00:00;5;15;7
2017-10-06 03:00:00;10;15;7
2017-10-06 04:00:00;6;13;6
2017-10-06 05:00:00;14;15;7
2017-10-06 06:00:00;36;16;7
2017-10-06 07:00:00;68;22;7
2017-10-06 08:00:00;73;23;8
2017-10-06 09:00:00;57;21;7
2017-10-06 10:00:00;55;17;6
2017-10-06 11:00:00;56;18;6
2017-10-06 12:00:00;49;15;5
2017-10-06 13:00:00;73;19;6
2017-10-06 14:00:00;76;24;8
2017-10-06 15:00:00;69;29;8
2017-10-06 16:00:00;59;23;8
2017-10-06 17:00:00;64;21;6
2017-10-06 18:00:00;69;12;4
2017-10-06 19:00:00;51;10;4
2017-10-06 20:00:00;36;9;4
2017-10-06 21:00:00;20;8;5
2017-10-06 22:00:00;14;8;4
2017-10-06 23:00:00;13;7;4
2017-10-07 00:00:00;12;12;9
2017-10-07 01:00:00;13;8;5
2017-10-07 02:00:00;6;3;2
2017-10-07 03:00:00;14;3;2
2017-10-07 04:00:00;16;2;1
2017-10-07 05:00:00;23;2;1
2017-10-07 06:00:00;43;2;2
2017-10-07 07:00:00;50;3;1
2017-10-07 08:00:00;54;3;1
2017-10-07 09:00:00;40;3;1
2017-10-07 10:00:00;34;6;2
2017-10-07 11:00:00;18;5;1
2017-10-07 12:00:00;23;3;1
2017-10-07 13:00:00;20;3;1
2017-10-07 14:00:00;23;3;1
2017-10-07 15:00:00;24;3;1
2017-10-07 16:00:00;27;3;1
2017-10-07 17:00:00;23;3;1
2017-10-07 18:00:00;35;5;2
2017-10-07 19:00:00;36;4;2
2017-10-07 20:00:00;38;4;2
2017-10-07 21:00:00;25;3;2
2017-10-07 22:00:00;22;3;2
2017-10-07 23:00:00;27;4;2
2017-10-08 00:00:00;30;4;3
2017-10-08 01:00:00;26;3;1
2017-10-08 02:00:00;13;2;1
2017-10-08 03:00:00;17;2;1
2017-10-08 04:00:00;14;2;1
2017-10-08 05:00:00;9;3;1
2017-10-08 06:00:00;19;2;1
2017-10-08 07:00:00;22;3;1
2017-10-08 08:00:00;30;3;1
2017-10-08 09:00:00;29;4;1
2017-10-08 10:00:00;29;3;1
